assignment,video,scene,scale_label,scale_value,movement_label,movement_value,frames,time(s),size(MB),dir
train,tt2015370,0072,FS,3,Static,4,34,1.42,0.41,./../data/train/tt2015370/shot_0072.mp4
train,tt2015370,0089,ECS,0,Static,4,20,0.83,0.18,./../data/train/tt2015370/shot_0089.mp4
train,tt2015474,0005,MS,2,Static,4,31,1.29,0.31,./../data/train/tt2015474/shot_0005.mp4
train,tt2015474,0007,MS,2,Static,4,20,0.83,0.20,./../data/train/tt2015474/shot_0007.mp4
train,tt2015474,0012,LS,4,Static,4,32,1.33,0.13,./../data/train/tt2015474/shot_0012.mp4
train,tt2015474,0014,MS,2,Static,4,31,1.29,0.22,./../data/train/tt2015474/shot_0014.mp4
train,tt2015474,0026,MS,2,Static,4,25,1.04,0.13,./../data/train/tt2015474/shot_0026.mp4
train,tt2015474,0027,MS,2,Static,4,36,1.50,0.16,./../data/train/tt2015474/shot_0027.mp4
train,tt2015474,0036,FS,3,Static,4,24,1.00,0.16,./../data/train/tt2015474/shot_0036.mp4
train,tt2015474,0051,ECS,0,Static,4,17,0.71,0.14,./../data/train/tt2015474/shot_0051.mp4
train,tt2015503,0024,MS,2,Motion,0,41,1.71,0.25,./../data/train/tt2015503/shot_0024.mp4
train,tt2015503,0030,MS,2,Static,4,43,1.79,0.13,./../data/train/tt2015503/shot_0030.mp4
train,tt2015503,0067,ECS,0,Static,4,16,0.67,0.13,./../data/train/tt2015503/shot_0067.mp4
train,tt2017020,0024,FS,3,Motion,0,42,1.68,0.96,./../data/train/tt2017020/shot_0024.mp4
train,tt2017020,0036,LS,4,Motion,0,22,0.88,0.38,./../data/train/tt2017020/shot_0036.mp4
train,tt2017020,0068,FS,3,Motion,0,14,0.56,0.30,./../data/train/tt2017020/shot_0068.mp4
train,tt2017020,0069,LS,4,Static,4,15,0.60,0.29,./../data/train/tt2017020/shot_0069.mp4
train,tt2017038,0012,LS,4,Motion,0,44,1.84,0.77,./../data/train/tt2017038/shot_0012.mp4
train,tt2017038,0013,CS,1,Static,4,64,2.67,0.54,./../data/train/tt2017038/shot_0013.mp4
train,tt2017038,0027,CS,1,Static,4,17,0.71,0.15,./../data/train/tt2017038/shot_0027.mp4
train,tt2017561,0004,LS,4,Motion,0,41,1.71,1.02,./../data/train/tt2017561/shot_0004.mp4
train,tt2017561,0012,FS,3,Static,4,23,0.96,0.51,./../data/train/tt2017561/shot_0012.mp4
train,tt2017561,0015,MS,2,Motion,0,41,1.71,0.97,./../data/train/tt2017561/shot_0015.mp4
train,tt2017561,0037,FS,3,Motion,0,16,0.67,0.50,./../data/train/tt2017561/shot_0037.mp4
train,tt2017561,0057,LS,4,Static,4,16,0.67,0.21,./../data/train/tt2017561/shot_0057.mp4
train,tt2017561,0061,FS,3,Static,4,15,0.63,0.33,./../data/train/tt2017561/shot_0061.mp4
train,tt2017709,0008,ECS,0,Static,4,182,7.59,0.78,./../data/train/tt2017709/shot_0008.mp4
train,tt2017709,0009,ECS,0,Static,4,284,11.85,2.01,./../data/train/tt2017709/shot_0009.mp4
train,tt2017709,0013,ECS,0,Static,4,58,2.42,0.86,./../data/train/tt2017709/shot_0013.mp4
train,tt2017709,0015,LS,4,Motion,0,96,4.00,0.44,./../data/train/tt2017709/shot_0015.mp4
train,tt2017709,0018,ECS,0,Static,4,129,5.38,0.97,./../data/train/tt2017709/shot_0018.mp4
train,tt2017709,0020,LS,4,Motion,0,47,1.96,0.48,./../data/train/tt2017709/shot_0020.mp4
train,tt2018136,0004,ECS,0,Static,4,28,1.12,0.08,./../data/train/tt2018136/shot_0004.mp4
train,tt2018136,0010,MS,2,Static,4,17,0.68,0.08,./../data/train/tt2018136/shot_0010.mp4
train,tt2018136,0016,CS,1,Motion,0,22,0.88,0.16,./../data/train/tt2018136/shot_0016.mp4
train,tt2018136,0057,CS,1,Push,1,14,0.56,0.12,./../data/train/tt2018136/shot_0057.mp4
train,tt2018164,0002,FS,3,Static,4,95,3.80,0.60,./../data/train/tt2018164/shot_0002.mp4
train,tt2018164,0009,FS,3,Motion,0,77,3.08,1.12,./../data/train/tt2018164/shot_0009.mp4
train,tt2018164,0011,ECS,0,Static,4,43,1.72,0.27,./../data/train/tt2018164/shot_0011.mp4
train,tt2023561,0026,ECS,0,Motion,0,17,0.68,0.10,./../data/train/tt2023561/shot_0026.mp4
train,tt2023561,0028,CS,1,Static,4,16,0.64,0.15,./../data/train/tt2023561/shot_0028.mp4
train,tt2023561,0033,MS,2,Static,4,62,2.48,0.26,./../data/train/tt2023561/shot_0033.mp4
train,tt2023561,0034,ECS,0,Static,4,16,0.64,0.14,./../data/train/tt2023561/shot_0034.mp4
train,tt2023561,0037,ECS,0,Static,4,17,0.68,0.11,./../data/train/tt2023561/shot_0037.mp4
train,tt2023561,0045,ECS,0,Static,4,20,0.80,0.04,./../data/train/tt2023561/shot_0045.mp4
train,tt2023561,0060,MS,2,Pull,2,46,1.84,0.25,./../data/train/tt2023561/shot_0060.mp4
train,tt2023618,0015,MS,2,Static,4,100,4.17,0.63,./../data/train/tt2023618/shot_0015.mp4
train,tt2023618,0026,CS,1,Static,4,47,1.96,0.30,./../data/train/tt2023618/shot_0026.mp4
train,tt2023620,0001,LS,4,Motion,0,64,2.67,1.25,./../data/train/tt2023620/shot_0001.mp4
train,tt2023620,0023,ECS,0,Static,4,35,1.46,0.56,./../data/train/tt2023620/shot_0023.mp4
train,tt2023620,0034,CS,1,Motion,0,24,1.00,0.52,./../data/train/tt2023620/shot_0034.mp4
train,tt2023620,0044,LS,4,Static,4,30,1.25,0.56,./../data/train/tt2023620/shot_0044.mp4
train,tt2023620,0056,LS,4,Static,4,17,0.71,0.29,./../data/train/tt2023620/shot_0056.mp4
train,tt2023650,0002,MS,2,Static,4,57,2.28,0.51,./../data/train/tt2023650/shot_0002.mp4
train,tt2023659,0018,CS,1,Static,4,23,0.96,0.16,./../data/train/tt2023659/shot_0018.mp4
train,tt2023659,0029,CS,1,Motion,0,27,1.13,0.46,./../data/train/tt2023659/shot_0029.mp4
train,tt2023659,0052,MS,2,Static,4,145,6.05,1.83,./../data/train/tt2023659/shot_0052.mp4
train,tt2024351,0012,MS,2,Motion,0,27,1.13,0.43,./../data/train/tt2024351/shot_0012.mp4
train,tt2024351,0022,ECS,0,Push,1,22,0.92,0.11,./../data/train/tt2024351/shot_0022.mp4
train,tt2024351,0024,CS,1,Static,4,22,0.92,0.18,./../data/train/tt2024351/shot_0024.mp4
train,tt2024354,0043,FS,3,Static,4,23,0.96,0.65,./../data/train/tt2024354/shot_0043.mp4
train,tt2024354,0068,MS,2,Static,4,29,1.21,0.51,./../data/train/tt2024354/shot_0068.mp4
train,tt2024396,0011,MS,2,Motion,0,43,1.79,0.32,./../data/train/tt2024396/shot_0011.mp4
train,tt2024469,0013,ECS,0,Static,4,52,2.17,0.21,./../data/train/tt2024469/shot_0013.mp4
train,tt2024519,0063,ECS,0,Motion,0,53,2.12,0.38,./../data/train/tt2024519/shot_0063.mp4
train,tt2024519,0069,FS,3,Static,4,18,0.72,0.14,./../data/train/tt2024519/shot_0069.mp4
train,tt2024519,0077,ECS,0,Static,4,53,2.12,0.40,./../data/train/tt2024519/shot_0077.mp4
train,tt2025511,0007,MS,2,Static,4,36,1.50,0.12,./../data/train/tt2025511/shot_0007.mp4
train,tt2025511,0015,CS,1,Static,4,58,2.42,0.54,./../data/train/tt2025511/shot_0015.mp4
train,tt2025511,0026,CS,1,Static,4,55,2.29,0.23,./../data/train/tt2025511/shot_0026.mp4
train,tt2025667,0011,ECS,0,Static,4,24,1.00,0.18,./../data/train/tt2025667/shot_0011.mp4
train,tt2025667,0020,LS,4,Motion,0,20,0.83,0.21,./../data/train/tt2025667/shot_0020.mp4
train,tt2025667,0024,CS,1,Static,4,27,1.13,0.16,./../data/train/tt2025667/shot_0024.mp4
train,tt2025667,0027,ECS,0,Static,4,25,1.04,0.20,./../data/train/tt2025667/shot_0027.mp4
train,tt2027138,0028,MS,2,Static,4,40,1.60,0.64,./../data/train/tt2027138/shot_0028.mp4
train,tt2028530,0003,CS,1,Static,4,31,1.03,0.09,./../data/train/tt2028530/shot_0003.mp4
train,tt2028530,0008,ECS,0,Static,4,22,0.73,0.07,./../data/train/tt2028530/shot_0008.mp4
train,tt2028530,0012,ECS,0,Static,4,70,2.34,0.52,./../data/train/tt2028530/shot_0012.mp4
train,tt2028530,0016,MS,2,Static,4,74,2.47,0.37,./../data/train/tt2028530/shot_0016.mp4
train,tt2028530,0017,ECS,0,Static,4,57,1.90,0.21,./../data/train/tt2028530/shot_0017.mp4
train,tt2028530,0021,FS,3,Static,4,39,1.30,0.17,./../data/train/tt2028530/shot_0021.mp4
train,tt2028530,0031,MS,2,Static,4,32,1.07,0.10,./../data/train/tt2028530/shot_0031.mp4
train,tt2032452,0001,FS,3,Push,1,33,1.38,0.44,./../data/train/tt2032452/shot_0001.mp4
train,tt2032452,0003,ECS,0,Static,4,30,1.25,0.36,./../data/train/tt2032452/shot_0003.mp4
train,tt2032452,0004,ECS,0,Static,4,25,1.04,0.39,./../data/train/tt2032452/shot_0004.mp4
train,tt2032452,0010,FS,3,Static,4,26,1.08,0.74,./../data/train/tt2032452/shot_0010.mp4
train,tt2032452,0025,CS,1,Static,4,38,1.58,0.43,./../data/train/tt2032452/shot_0025.mp4
train,tt2032452,0029,MS,2,Static,4,19,0.79,0.20,./../data/train/tt2032452/shot_0029.mp4
train,tt2032452,0032,CS,1,Static,4,21,0.88,0.18,./../data/train/tt2032452/shot_0032.mp4
train,tt2032452,0066,CS,1,Static,4,26,1.08,0.18,./../data/train/tt2032452/shot_0066.mp4
train,tt2032452,0088,ECS,0,Static,4,26,1.08,0.27,./../data/train/tt2032452/shot_0088.mp4
train,tt2032452,0105,FS,3,Static,4,19,0.79,0.22,./../data/train/tt2032452/shot_0105.mp4
train,tt2032506,0005,ECS,0,Static,4,163,5.44,1.52,./../data/train/tt2032506/shot_0005.mp4
train,tt2032506,0023,FS,3,Motion,0,59,1.97,3.26,./../data/train/tt2032506/shot_0023.mp4
train,tt2033952,0006,CS,1,Static,4,96,3.20,0.80,./../data/train/tt2033952/shot_0006.mp4
train,tt2033952,0011,MS,2,Motion,0,40,1.33,0.29,./../data/train/tt2033952/shot_0011.mp4
train,tt2033981,0038,CS,1,Static,4,88,3.67,0.26,./../data/train/tt2033981/shot_0038.mp4
train,tt2033981,0044,FS,3,Static,4,25,1.04,0.17,./../data/train/tt2033981/shot_0044.mp4
train,tt2033981,0069,MS,2,Pull,2,35,1.46,0.23,./../data/train/tt2033981/shot_0069.mp4
train,tt2034139,0044,CS,1,Static,4,58,2.42,0.55,./../data/train/tt2034139/shot_0044.mp4
train,tt2034139,0062,CS,1,Static,4,33,1.38,0.24,./../data/train/tt2034139/shot_0062.mp4
train,tt2034139,0068,ECS,0,Static,4,20,0.83,0.17,./../data/train/tt2034139/shot_0068.mp4
train,tt2034139,0079,CS,1,Static,4,70,2.92,0.55,./../data/train/tt2034139/shot_0079.mp4
train,tt2034761,0003,LS,4,Motion,0,48,1.92,0.90,./../data/train/tt2034761/shot_0003.mp4
train,tt2034761,0008,LS,4,Motion,0,39,1.56,0.86,./../data/train/tt2034761/shot_0008.mp4
train,tt2034761,0017,LS,4,Motion,0,64,2.56,1.12,./../data/train/tt2034761/shot_0017.mp4
train,tt2034761,0029,CS,1,Static,4,15,0.60,0.21,./../data/train/tt2034761/shot_0029.mp4
train,tt2034800,0025,LS,4,Static,4,17,0.68,0.17,./../data/train/tt2034800/shot_0025.mp4
train,tt2036401,0001,FS,3,Static,4,47,1.88,0.33,./../data/train/tt2036401/shot_0001.mp4
train,tt2036401,0002,CS,1,Static,4,62,2.48,0.29,./../data/train/tt2036401/shot_0002.mp4
train,tt2036401,0021,CS,1,Static,4,40,1.60,0.22,./../data/train/tt2036401/shot_0021.mp4
train,tt2036401,0034,FS,3,Push,1,32,1.28,0.19,./../data/train/tt2036401/shot_0034.mp4
train,tt2036408,0010,LS,4,Motion,0,49,1.96,0.46,./../data/train/tt2036408/shot_0010.mp4
train,tt2036408,0053,CS,1,Static,4,21,0.84,0.19,./../data/train/tt2036408/shot_0053.mp4
train,tt2036408,0054,ECS,0,Static,4,21,0.84,0.21,./../data/train/tt2036408/shot_0054.mp4
train,tt2036408,0063,LS,4,Static,4,15,0.60,0.11,./../data/train/tt2036408/shot_0063.mp4
train,tt2036408,0072,FS,3,Push,1,26,1.04,0.28,./../data/train/tt2036408/shot_0072.mp4
train,tt2036408,0073,FS,3,Motion,0,19,0.76,0.20,./../data/train/tt2036408/shot_0073.mp4
train,tt2036408,0077,CS,1,Static,4,26,1.04,0.17,./../data/train/tt2036408/shot_0077.mp4
train,tt2036408,0088,CS,1,Static,4,25,1.00,0.17,./../data/train/tt2036408/shot_0088.mp4
train,tt2036408,0090,MS,2,Static,4,52,2.08,0.29,./../data/train/tt2036408/shot_0090.mp4
train,tt2036408,0111,ECS,0,Static,4,22,0.88,0.17,./../data/train/tt2036408/shot_0111.mp4
train,tt2036408,0112,FS,3,Static,4,18,0.72,0.21,./../data/train/tt2036408/shot_0112.mp4
train,tt2039369,0002,LS,4,Motion,0,30,1.25,0.27,./../data/train/tt2039369/shot_0002.mp4
train,tt2039369,0017,MS,2,Static,4,32,1.33,0.19,./../data/train/tt2039369/shot_0017.mp4
train,tt2039369,0026,MS,2,Motion,0,17,0.71,0.18,./../data/train/tt2039369/shot_0026.mp4
train,tt2039369,0037,CS,1,Static,4,40,1.67,0.14,./../data/train/tt2039369/shot_0037.mp4
train,tt2039369,0046,LS,4,Motion,0,15,0.63,0.12,./../data/train/tt2039369/shot_0046.mp4
train,tt2039369,0049,CS,1,Static,4,22,0.92,0.15,./../data/train/tt2039369/shot_0049.mp4
train,tt2040367,0002,MS,2,Static,4,28,0.93,0.11,./../data/train/tt2040367/shot_0002.mp4
train,tt2040367,0038,MS,2,Static,4,26,0.87,0.10,./../data/train/tt2040367/shot_0038.mp4
train,tt2040367,0042,MS,2,Static,4,66,2.20,0.20,./../data/train/tt2040367/shot_0042.mp4
train,tt2040367,0056,LS,4,Static,4,35,1.17,0.14,./../data/train/tt2040367/shot_0056.mp4
train,tt2040367,0062,FS,3,Static,4,26,0.87,0.20,./../data/train/tt2040367/shot_0062.mp4
train,tt2040367,0064,MS,2,Static,4,26,0.87,0.10,./../data/train/tt2040367/shot_0064.mp4
train,tt2040367,0070,MS,2,Static,4,22,0.73,0.09,./../data/train/tt2040367/shot_0070.mp4
train,tt2040367,0078,FS,3,Static,4,28,0.93,0.11,./../data/train/tt2040367/shot_0078.mp4
train,tt2040504,0004,LS,4,Motion,0,44,1.84,0.36,./../data/train/tt2040504/shot_0004.mp4
train,tt2040504,0009,FS,3,Motion,0,31,1.29,0.24,./../data/train/tt2040504/shot_0009.mp4
train,tt2040504,0018,MS,2,Static,4,46,1.92,0.35,./../data/train/tt2040504/shot_0018.mp4
train,tt2040504,0028,CS,1,Motion,0,15,0.63,0.09,./../data/train/tt2040504/shot_0028.mp4
train,tt2040504,0041,CS,1,Static,4,64,2.67,0.49,./../data/train/tt2040504/shot_0041.mp4
train,tt2040504,0049,LS,4,Static,4,45,1.88,0.16,./../data/train/tt2040504/shot_0049.mp4
train,tt2040504,0052,MS,2,Static,4,59,2.46,0.31,./../data/train/tt2040504/shot_0052.mp4
train,tt2040504,0084,MS,2,Static,4,32,1.33,0.12,./../data/train/tt2040504/shot_0084.mp4
train,tt2040504,0085,LS,4,Motion,0,50,2.09,0.33,./../data/train/tt2040504/shot_0085.mp4
train,tt2040537,0012,MS,2,Push,1,33,1.38,0.35,./../data/train/tt2040537/shot_0012.mp4
train,tt2040537,0018,ECS,0,Static,4,47,1.96,0.59,./../data/train/tt2040537/shot_0018.mp4
train,tt2040537,0023,FS,3,Static,4,50,2.09,0.47,./../data/train/tt2040537/shot_0023.mp4
train,tt2040537,0033,MS,2,Static,4,25,1.04,0.30,./../data/train/tt2040537/shot_0033.mp4
